,Unnamed: 0,tablescraper-selected-row href,New Club Name,New Description
0,0,https://now.calpoly.edu/organization/aacfclub, aacf ( asian american christian fellowship ), mission aacf reach university collegiate community life-changing message jesus christ focus love god love community bible study prayer worship !
1,1,https://now.calpoly.edu/organization/cpad, advertising club, advertising provide student hands-on experience world advertising partner local business create real-world campaign member boost creativity collaboration passion
2,2,https://now.calpoly.edu/organization/abm-nama, agribusiness management/national agri-marketing association club, abm/nama great way student learn and/or prepare future agribusiness industry allows student attend industry convention compete marketing competition network agribusiness professional
3,3,https://now.calpoly.edu/organization/agricultural-communicators-tomorrow, agricultural communicators of tomorrow, provide student opportunity become involve agricultural industry able bridge gap general public involve agriculture
4,4,https://now.calpoly.edu/organization/ag-eng-society, agricultural engineering society, main goal aes enhance student experience associate brae department well department throughout campus
5,5,https://now.calpoly.edu/organization/agls, agricultural leadership society, agricultural leadership society empowers student find leadership agriculture grow connection campus discover strength fun inclusive event
6,6,https://now.calpoly.edu/organization/ashrae," american society of heating , refrigerating and air-conditioning engineers", chapter ashrae ( american society heating refrigerate air-conditioning engineer ) help student well understand possibility within hvac industry
7,7,https://now.calpoly.edu/organization/axs," alpha chi sigma , gamma zeta chapter", alpha chi sigma co-ed professional chemistry fraternity commit create positive environment student faculty interested chemical science become involve service leadership
8,8,https://now.calpoly.edu/organization/akdphi, alpha kappa delta phi, alpha kappa delta phi large international asian-interest sorority chapter across u.s & canada pillar strive towards sxsterhood scholarship leadership service asian-awareness
9,9,https://now.calpoly.edu/organization/akpsi, alpha kappa psi professional business fraternity, alpha kappa psi co-ed professional business fraternity open major
10,10,https://now.calpoly.edu/organization/cpaoe, alpha omega epsilon, alpha omega epsilon professional social sorority compose engineering technical science student alumnus across globe
11,11,https://now.calpoly.edu/organization/aphio," alpha phi omega , zeta omicron chapter", co-ed national service fraternity main goal community service service also fellowship event interchapter event alumnus event
12,12,https://now.calpoly.edu/organization/apm, alpha pi mu at cal poly, national honor society industrial engineering student recognize leader department give back community campus
13,13,https://now.calpoly.edu/organization/asmu, alpha sigma mu, honor organization material engineering department
14,14,https://now.calpoly.edu/organization/alpha-sigma-phi, alpha sigma phi iota chi ( ασφ ix ), purpose alpha sigma phi well man creation perpetuation brotherhood found upon value character : silence charity purity honor patriotism
15,15,https://now.calpoly.edu/organization/ata, alpha tau alpha, alpha tau alpha professional fraternity current future agriculture teacher
16,16,https://now.calpoly.edu/organization/acs, american chemical society, american chemical society ( ac ) register chapter national organization name provide interested chemistry place foster friendship gain professional knowledge field
17,17,https://now.calpoly.edu/organization/aisa, american indian students association, american indian student association ( aisa ) strives create inclusive environment welcome community anyone identifies 'indigenous ' want ally indigenous student 's campus
18,18,https://now.calpoly.edu/organization/aiaa, american institute of aeronautics and astronautics, host speaker industry twice month share different opportunity within field lecture interest subject within aerospace industry
19,19,https://now.calpoly.edu/organization/aias, american institute of architecture students, aias country 's large organization student architecture provide best program information resource available aias student affiliate aia link professional architecture
20,20,https://now.calpoly.edu/organization/ama, american marketing association, american marketing association aim provide student interested field marketing sale tool tip need create successful career future
21,21,https://now.calpoly.edu/organization/sloaslclub, american sign language club, group dedicate learn american sign language deaf culture
22,22,https://now.calpoly.edu/organization/scasla," american society of landscape architecture , student chapter", organization help student pursue landscape architecture learn field build connection engage educational professional event
23,23,https://now.calpoly.edu/organization/adl, analogue design lab, analogue design lab design produce product competition design challenge base student interest 're seek make idea reality want learn engineering design adl !
24,24,https://now.calpoly.edu/organization/argentineculturalsocietycp, argentine cultural society at cal poly, organize host event mate gathering asados ( barbecue cookout ) alfajor-making workshop provide authentic space member enjoy traditional argentine food custom together
25,25,https://now.calpoly.edu/organization/asa, armenian students association, cultural aim unite educate foster social environment student armenian heritage
26,26,https://now.calpoly.edu/organization/a3, asexual association, social aromantics asexuals ally connect build community
27,27,https://now.calpoly.edu/organization/agc, associated general contractors, student chapter national organization construction company & vendor agc offer unique point view construction industry well access company professional development networking
28,28,https://now.calpoly.edu/organization/calpolyasp, associated students in planning, asp professional crp ( city regional planning ) major non-majors enhance academic career help expose city planning profession meeting weekly please contact calpolyasp @ gmail.com
29,29,https://now.calpoly.edu/organization/ascm, associated students of construction management, ascm offer student opportunity learn involve construction management profession network develop relationship potential employer meet fellow student student chapter upholds ideal standard
30,31,https://now.calpoly.edu/organization/ampp, association for materials protection and performance - cal poly chapter, ampp california central coast student chapter group hardworking student look outside classroom expand education make lifelong connection host industry talk perform meaningful experiment outreach
31,32,https://now.calpoly.edu/organization/awm, association for women in mathematics - cal poly student chapter, society aim support woman minority mathematics influence culture mathematics whole
32,33,https://now.calpoly.edu/organization/aep, association of environmental professionals, student chapter association environmental professional promotes networking professional development field natural resource management order enhance maintain protect natural human environment
33,34,https://now.calpoly.edu/organization/ats, association of transfer students, association transfer student ( ) social design help transfer build community make transition campus fun easy possible
34,35,https://now.calpoly.edu/organization/aws-cloud-club-at-cal-poly, aws cloud club cal poly, aws cloud teach student aws cloud use case include related security aw business analytics business transformation etc give student hands-on experience project aws cloud provide industry skill
35,36,https://now.calpoly.edu/organization/waterworks, awwa cal poly san luis obispo, waterworks aim enhance student ' understand water resource engineering planning management
36,37,https://now.calpoly.edu/organization/badminton, badminton club, join u love badminton ! skill level welcome proud member sccbl ( southern california collegiate badminton league )
37,38,https://now.calpoly.edu/organization/bahai, baha ' i club at cal poly, second geographically widespread religion world bahá ' í faith emphasizes unity peace fundamental oneness god oneness religion oneness mankind
38,39,https://now.calpoly.edu/organization/bestbuddies, best buddies, best buddy organization dedicate establish global volunteer movement creates opportunity individual intellectual & developmental disability
